example_id                                                 | status | run_time        |
./spec/models/work_spec.rb[1:6:2]                          | passed | 0.00133 seconds |
./spec/models/work_spec.rb[1:7:1]                          | passed | 0.01662 seconds |
./spec/models/work_spec.rb[1:8:1]                          | passed | 0.00506 seconds |
./spec/models/work_spec.rb[1:8:2]                          | passed | 0.00878 seconds |
./spec/requests/admin/categories_spec.rb[1:1:1]            | passed | 0.00532 seconds |
./spec/requests/admin/categories_spec.rb[1:1:2]            | passed | 0.01011 seconds |
./spec/requests/admin/categories_spec.rb[1:2:1:1]          | passed | 0.02097 seconds |
./spec/requests/admin/categories_spec.rb[1:2:1:2]          | passed | 0.04138 seconds |
./spec/requests/admin/categories_spec.rb[1:2:2:1]          | passed | 0.04641 seconds |
./spec/requests/admin/categories_spec.rb[1:2:2:2]          | passed | 0.02598 seconds |
./spec/requests/admin/categories_spec.rb[1:2:3:1]          | passed | 0.01394 seconds |
./spec/requests/admin/categories_spec.rb[1:2:4:1:1]        | passed | 0.01321 seconds |
./spec/requests/admin/categories_spec.rb[1:2:4:1:2]        | passed | 0.03408 seconds |
./spec/requests/admin/categories_spec.rb[1:2:4:2:1]        | passed | 0.01581 seconds |
./spec/requests/admin/categories_spec.rb[1:2:4:2:2]        | passed | 0.01495 seconds |
./spec/requests/admin/categories_spec.rb[1:2:5:1]          | passed | 0.01656 seconds |
./spec/requests/admin/categories_spec.rb[1:2:6:1:1]        | passed | 0.01624 seconds |
./spec/requests/admin/categories_spec.rb[1:2:6:1:2]        | passed | 0.01732 seconds |
./spec/requests/admin/categories_spec.rb[1:2:6:2:1]        | passed | 0.151 seconds   |
./spec/requests/admin/categories_spec.rb[1:2:7:1]          | passed | 0.01721 seconds |
./spec/requests/admin/categories_spec.rb[1:2:7:2]          | passed | 0.02618 seconds |
./spec/requests/admin/commissions_spec.rb[1:1:1]           | passed | 0.00608 seconds |
./spec/requests/admin/commissions_spec.rb[1:1:2]           | passed | 0.00992 seconds |
./spec/requests/admin/commissions_spec.rb[1:2:1:1]         | passed | 0.03202 seconds |
./spec/requests/admin/commissions_spec.rb[1:2:1:2]         | passed | 0.03341 seconds |
./spec/requests/admin/commissions_spec.rb[1:2:1:3]         | passed | 0.02954 seconds |
./spec/requests/admin/commissions_spec.rb[1:2:2:1]         | passed | 0.02166 seconds |
./spec/requests/admin/commissions_spec.rb[1:2:2:2]         | passed | 0.0228 seconds  |
./spec/requests/admin/commissions_spec.rb[1:2:3:1]         | passed | 0.01472 seconds |
./spec/requests/admin/commissions_spec.rb[1:2:4:1:1]       | passed | 0.01572 seconds |
./spec/requests/admin/commissions_spec.rb[1:2:4:1:2]       | passed | 0.01598 seconds |
./spec/requests/admin/commissions_spec.rb[1:2:4:2:1]       | passed | 0.02062 seconds |
./spec/requests/admin/commissions_spec.rb[1:2:4:2:2]       | passed | 0.02086 seconds |
./spec/requests/admin/commissions_spec.rb[1:2:5:1]         | passed | 0.0199 seconds  |
./spec/requests/admin/commissions_spec.rb[1:2:6:1:1]       | passed | 0.0175 seconds  |
./spec/requests/admin/commissions_spec.rb[1:2:6:1:2]       | passed | 0.0163 seconds  |
./spec/requests/admin/commissions_spec.rb[1:2:6:2:1]       | passed | 0.0304 seconds  |
./spec/requests/admin/commissions_spec.rb[1:2:7:1]         | passed | 0.02495 seconds |
./spec/requests/admin/commissions_spec.rb[1:2:7:2]         | passed | 0.02769 seconds |
./spec/requests/admin/commissions_spec.rb[1:2:8:1:1]       | passed | 0.03261 seconds |
./spec/requests/admin/commissions_spec.rb[1:2:8:1:2]       | passed | 0.04628 seconds |
./spec/requests/admin/commissions_spec.rb[1:2:8:2:1]       | passed | 0.01799 seconds |
./spec/requests/admin/commissions_spec.rb[1:2:8:3:1]       | passed | 0.02564 seconds |
./spec/requests/admin/contact_inquiries_spec.rb[1:1:1:1]   | passed | 0.00338 seconds |
./spec/requests/admin/contact_inquiries_spec.rb[1:1:2:1]   | passed | 0.00913 seconds |
./spec/requests/admin/contact_inquiries_spec.rb[1:2:1:1]   | passed | 0.01943 seconds |
./spec/requests/admin/contact_inquiries_spec.rb[1:2:1:2]   | passed | 0.02417 seconds |
./spec/requests/admin/contact_inquiries_spec.rb[1:2:1:3]   | passed | 0.02023 seconds |
./spec/requests/admin/contact_inquiries_spec.rb[1:2:1:4]   | passed | 0.01965 seconds |
./spec/requests/admin/contact_inquiries_spec.rb[1:2:1:5]   | passed | 0.02068 seconds |
./spec/requests/admin/contact_inquiries_spec.rb[1:2:2:1]   | passed | 0.01471 seconds |
./spec/requests/admin/contact_inquiries_spec.rb[1:2:2:2]   | passed | 0.01704 seconds |
./spec/requests/admin/contact_inquiries_spec.rb[1:2:3:1:1] | passed | 0.01315 seconds |
./spec/requests/admin/contact_inquiries_spec.rb[1:2:3:1:2] | passed | 0.01294 seconds |
./spec/requests/admin/contact_inquiries_spec.rb[1:2:4:1]   | passed | 0.01261 seconds |
./spec/requests/admin/contact_inquiries_spec.rb[1:2:4:2]   | passed | 0.0127 seconds  |
./spec/requests/admin/contact_inquiries_spec.rb[1:2:5:1]   | passed | 0.01295 seconds |
./spec/requests/admin/contact_inquiries_spec.rb[1:2:5:2]   | passed | 0.01371 seconds |
./spec/requests/admin/contact_inquiries_spec.rb[1:2:5:3]   | passed | 0.01294 seconds |
./spec/requests/admin/contact_inquiries_spec.rb[1:2:6:1]   | passed | 0.01319 seconds |
./spec/requests/admin/contact_inquiries_spec.rb[1:2:6:2]   | passed | 0.01259 seconds |
./spec/requests/admin/dashboard_spec.rb[1:1:1:1]           | passed | 0.0052 seconds  |
./spec/requests/admin/dashboard_spec.rb[1:1:2:1]           | passed | 0.00948 seconds |
./spec/requests/admin/dashboard_spec.rb[1:1:3:1]           | passed | 0.01629 seconds |
./spec/requests/admin/dashboard_spec.rb[1:1:3:2]           | passed | 0.01801 seconds |
./spec/requests/admin/works_spec.rb[1:1:1]                 | passed | 0.0054 seconds  |
./spec/requests/admin/works_spec.rb[1:1:2]                 | passed | 0.00997 seconds |
./spec/requests/admin/works_spec.rb[1:2:1:1]               | passed | 0.0252 seconds  |
./spec/requests/admin/works_spec.rb[1:2:1:2]               | passed | 0.02238 seconds |
./spec/requests/admin/works_spec.rb[1:2:1:3]               | passed | 0.02234 seconds |
./spec/requests/admin/works_spec.rb[1:2:1:4]               | passed | 0.02172 seconds |
./spec/requests/admin/works_spec.rb[1:2:2:1]               | passed | 0.01767 seconds |
./spec/requests/admin/works_spec.rb[1:2:2:2]               | passed | 0.01977 seconds |
./spec/requests/admin/works_spec.rb[1:2:3:1]               | passed | 0.01963 seconds |
./spec/requests/admin/works_spec.rb[1:2:4:1:1]             | passed | 0.0131 seconds  |
./spec/requests/admin/works_spec.rb[1:2:4:1:2]             | passed | 0.01304 seconds |
./spec/requests/admin/works_spec.rb[1:2:4:2:1]             | passed | 0.01501 seconds |
./spec/requests/admin/works_spec.rb[1:2:4:2:2]             | passed | 0.01473 seconds |
./spec/requests/admin/works_spec.rb[1:2:5:1]               | passed | 0.01978 seconds |
./spec/requests/admin/works_spec.rb[1:2:6:1:1]             | passed | 0.01633 seconds |
./spec/requests/admin/works_spec.rb[1:2:6:1:2]             | passed | 0.01636 seconds |
./spec/requests/admin/works_spec.rb[1:2:6:2:1]             | passed | 0.01998 seconds |
./spec/requests/admin/works_spec.rb[1:2:7:1]               | passed | 0.01646 seconds |
./spec/requests/admin/works_spec.rb[1:2:7:2]               | passed | 0.01626 seconds |
./spec/requests/admin/works_spec.rb[1:2:8:1]               | passed | 0.01611 seconds |
./spec/requests/admin/works_spec.rb[1:2:8:2]               | passed | 0.01475 seconds |
./spec/requests/admin/works_spec.rb[1:2:9:1]               | passed | 0.01853 seconds |
./spec/requests/admin/works_spec.rb[1:2:10:1]              | passed | 0.01551 seconds |
./spec/requests/admin/works_spec.rb[1:2:11:1]              | passed | 0.01568 seconds |
./spec/requests/admin/works_spec.rb[1:2:12:1]              | passed | 0.01892 seconds |
./spec/requests/admin/works_spec.rb[1:2:12:2]              | passed | 0.01648 seconds |
./spec/requests/contact_inquiries_spec.rb[1:1:1:1]         | passed | 0.0065 seconds  |
./spec/requests/contact_inquiries_spec.rb[1:1:1:2]         | passed | 0.01825 seconds |
./spec/requests/contact_inquiries_spec.rb[1:1:1:3]         | passed | 0.00795 seconds |
./spec/requests/contact_inquiries_spec.rb[1:1:1:4]         | passed | 0.00781 seconds |
./spec/requests/contact_inquiries_spec.rb[1:1:2:1]         | passed | 0.02281 seconds |
./spec/requests/contact_inquiries_spec.rb[1:1:2:2]         | passed | 0.00931 seconds |
./spec/requests/pages_spec.rb[1:1:1]                       | passed | 0.00755 seconds |
./spec/requests/pages_spec.rb[1:1:2]                       | passed | 0.00704 seconds |
./spec/requests/pages_spec.rb[1:1:3:1]                     | passed | 0.01655 seconds |
